​,Ticket ID,Ticket Name,Site Visit Date Start,Site Visit Date End,Severity Type,Customer,Assigned to,Ticket Sub-Type,Stage,Visitor name,Created on
"unchecked
​",15755,Lumen Korea Shipment to SEL1 (코레이트빌딩8층),,,S-4,Lumen Technologies Korea,,,Completed,,02-Feb-2024 10:05:47
"unchecked
​",11561,Lumen Korea Shipment to SEL1 (코레이트빌딩8층),,,S-4,Lumen Technologies Korea,,,Completed,,30-Oct-2023 12:57:16
"unchecked
​",7603,Lumen Korea Shipment going to SEL1,,,S-3,Lumen Technologies Korea,,,Completed,,19-Jul-2023 11:29:55
"unchecked
​",7397,[Lumen Korea] Juniper Module,,,S-4,Lumen Technologies Korea,,,Completed,,13-Jul-2023 10:38:20
"unchecked
​",6448,Lumen Korea Shipment going to SEL1,,,S-4,Lumen Technologies Korea,,,Completed,,20-Jun-2023 12:03:58
,,,,,,,,,,,
